symptoms,medicine,description,precautions,category
"high fever body ache chills shivering hot skin high temperature sweating","Paracetamol","Common analgesic and antipyretic to reduce fever and relieve minor pains.","Take after food. Avoid alcohol. Max 4 doses in 24 hours.","general"
"mild fever constant headache extreme fatigue sore muscles slight temperature","Ibuprofen","NSAID used for reducing high fever and relieving body inflammation.","Take with a meal. Do not use if you have stomach ulcers.","general"
"fever sore throat dry cough fatigue body aches viral cold symptoms","Paracetamol / Vitamin C","Supportive treatment for viral fever and cold symptoms.","Rest adequately keep hydrated isolate if contagious.","general"
"dry cough tickling in throat persistent coughing fits hacking cough cough without phlegm","Dextromethorphan Syrup","Cough suppressant for non-productive dry cough.","May cause drowsiness avoid driving. Follow dosage cup.","respiratory"
"wet cough chest congestion phlegm heavy breathing productive cough mucus in chest","Guaifenesin Syrup","Expectorant to loosen chest congestion and mucus.","Drink plenty of water to help thin mucus.","respiratory"
"severe sore throat difficulty swallowing red tonsils throat pain scratchy throat","Lozenges / Paracetamol","Relief for inflamed throat tissues and pain.","Avoid cold drinks talk less consult doctor if white patches appear.","respiratory"
"runny nose sneezing nasal congestion watery eyes cold allergy rhinitis","Cetirizine","Antihistamine for seasonal allergies and running nose.","May cause mild drowsiness. Take at night.","respiratory"
"stuffy nose blocked sinuses facial pressure sinus headache blocked nasal passage","Pseudoephedrine","Decongestant for clearing blocked nasal passages.","Can increase heart rate use with caution if hypertensive.","respiratory"
"wheezing shortness of breath chest tightness asthma difficulty breathing anoxia","Salbutamol Inhaler","Bronchodilator to open airways quickly.","Use only as prescribed. Keep inhaler clean.","respiratory"
"acid reflux heartburn sour burps chest burning acidity indigestion acid rising","Antacid Gel (Magaldrate/Simethicone)","Neutralizes stomach acid and relieves gas.","Take 30 mins after meals. Chew properly if tablet.","gastrointestinal"
"severe stomach ache bloating indigestion heavy feeling abdominal pain belly ache","Domperidone / Pantoprazole","Prokinetic and acid reducer for upper GI discomfort.","Take 30 minutes before breakfast.","gastrointestinal"
"watery diarrhea loose stools stomach cramps urge to go loose motion bowel issue","Loperamide","Anti-diarrheal medication to slow bowel movements.","Stop once stools harden. Drink oral rehydration salts (ORS).","gastrointestinal"
